Kris,Nicholas,Lambert
DoKyoung,,Lee
Alexander,Edward,Lipka
Stephen,P,Long
Sarah,Taylor,Lovell
Stephen,Patrick,Moose
Emerson,D,Nafziger
Cameron,M,Pittelkow
A,Lane,Rayburn
Dean,Edward,Riechers
Erik,J,Sacks
Nathan,E,Schroeder
Anthony,Joseph,Studer
Patrick,J,Tranel
Maria,Bonita,Villamil
Thomas,B,Voigt
Youfu,,Zhao
Juan,,Andrade
Keith,R,Cadwallader
Karen,Marie,Chapman-Novakofski
Hong,,Chen
Elvira,,Demejia
Sharon,M,Donovan
Nicki,Jene,Engeseth
Hao,,Feng
Linda,S,Garrow
Timothy,A,Garrow
William,G,Helferich
Yong-Su,,Jin
Jozef,L,Kokini
Soo-Yeun,,Lee
Youngsoo,,Lee
Michael,J,Miller
Scott,A,Morris
Manabu,T,Nakamura
Graciela,Wild,Padua
Yuan-Xiang,,Pan
Shelly,J,Schmidt
Pawan,Singh,Takhar
Kelly,Anne,Tappenden
Aaron,T,Ebata
Gail,Marcia,Ferguson
Barbara,,Fiese
Stephen,,Gasteyer
Jennifer,Leeann,Hardesty
Joe,Grant,Harper
Robin,L,Jarrett
Neil,A,Knobloch
Susan,Silverberg,Koerner
Karen,,Kramer
Laurie,F,Kramer
Soo,Ah,Kwon
Reed,W,Larson
Christy,L,Lleras
Brent,A,McBride
Nancy,L,McElwain
Brian,Gabriel,Ogolsky
Ramona,Faith,Oswald
Janet,Mildred,Reis
Ann,E,Reisner
David,Michael,Rosch
Constance,Hoenk,Shapiro
Erica,B,Thieman
Angela,R,Wiley
Thomas,J,Benson
May,R,Berenbaum
Jeffrey,D,Brawn
Richard,J,Brazee
Yong,,Cao
Joanne,Chin,Chee-Sanford
John,Howard,Chick
Poo,,Chow
Michael,A,Cole
Bethany,Brooke,Cutts
George,Frank,Czapar
Sergiusz,Jakob,Czesny
Robert,G,Darmody
Michael,I,Darter
Mark,B,David
Brian,M,Deal
Evan,H,Delucia
Michael,E,Douglas
Essam,Mohamed,El-Naggar
Anton,G,Endress
John,M,Epifanio
Peter,,Fagan
Jennifer,M,Fraterrigo
Eric,T,Freyfogle
George,Z,Gertner
Floyd,A,Giles
David,Aaron,Grimley
Heath,Michael,Hagy
Lawrence,M,Hanks
Glen,L,Hartman
John,J,Hassett
Edward,J,Heske
Piper,,Hodson
Jeffrey,P,Hoover
Michael,E,Irwin
Wesley,M,Jarrell
Robert,L,Jones
Angela,D,Kent
Saeed,Ahmad,Khan
Madhu,,Khanna
Schuyler,S,Korban
Frances,E,Kuo
Richard,A,Larson
Warren,,Lavey
Jeffrey,M,Levengood
Mary,Ann,Lila
Yu-Feng,,Lin
Momcilo,,Markus
Nohra,E,Mateus-Pinilla
Jeffrey,Wayne,Matthews
Gregory,F,McIsaac
Craig,A,Miller
James,Robert,Miller
Brenda,,Molano-Flores
Richard,L,Mulvaney
Kenneth,R,Olson
Ken,N,Paige
Martin,,Pentrak
Linda,,Pentrakova
David,P,Philipp
Christopher,A,Phillips
Osman,,Radwan
Mastura,,Raheel
Constantin,A,Rebeiz
Ann,E,Reisner
Jesse,C,Ribot
David,John,Riecks-Soucek
Gene,E,Robinson
Gary,L,Rolfe
Gregory,G,Sass
Wendy,,Schelsky
Robert,Lee,Schooley
F,William,Simmons
Leellen,F,Solter
Louis,A,Spomer
Joshua,D,Stafford
Kirk,,Stodola
Joseph,William,Stucki
William,C,Sullivan
Cory,David,Suski
John,M,Swiader
John,B,Taft
Christopher,A,Taylor
Jason,F,Thomason
James,,Treat
Carmen,Marlene,Ugarte
Joanne,,Vining
David,H,Wahl
Michelle,M,Wander
Michael,Patrick,Ward
Richard,Eugene,Warner
Patrick,J,Weatherhead
Anthony,,Yannarell
Wei,,Zheng
William,P,Stewart
Reginald,J,Alston
Lynette,C,Barnes
Pamela,Kay,Bigler
Marni,,Boppart
Steven,,Broglio
David,M,Buchner
Kristin,Nicole,Carlson
Les,G,Carlton
Darla,M,Castelli
Wojciech,,Chodzko-Zajko
Gary,S,Crull
Ellen,M,Evans
Robert,Morton,Fagen
Susan,M,Farner
Kim,C,Graber
Diana,S,Grigsby
Lena,,Hann
Idethia,Shevon,Harvey
Charles,H,Hillman
Kimberly,A,Huey
Yih-Kuen,,Jan
Naiman,A,Khan
Juhee,,Kim
Reed,W,Larson
Yvonne,,Learmonth
Melissa,Monique,Littlefield
Rainer,,Martens
Edward,,McAuley
Laura,Ann,McCloskey
Robert,Wayne,McGrew
Robert,W,Motl
Sean,P,Mullen
Stephen,John,Notaro
Brandt,David,Pence
Steven,J,Petruzzello
John,David,Polk
David,M,Remmert
Ian,Matthew,Rice
Karin,Ann,Rosenblatt
James,,Rounds
Andiara,,Schwingel
John,M,Snyder
Jacob,J,Sosnoff
David,Ross,Strauser
Synthia,,Sydnor
Kenneth,,Wilund
Amelia,Mays,Woods
Jeffrey,A,Woods
Yang,,Yang
Weimo,,Zhu
Laurence,,Chalip
Beverly,Christine,Green
Zhuowei,,Huang
Toni,,Liechty
Cary,D,McDonald
Lynn,Barnett,Morris
Laura,,Payne
Carla,A,Santos
Kimberly,J,Shinew
William,P,Stewart
Monika,,Stodolska
Scott,,Tainsky
Jon,,Welty-Peachey
Justin,Evan,Aronoff
Aron,Keith,Barbey
Ronny,D,Chambers
Laura,Segebart,DeThorne
David,Michael,Gooler
Pamela,Ann,Hadley
Julie,A,Hengst
Fatima,T,Husain
Aaron,,Johnson
Cynthia,J,Johnson
Karen,,Kirk
Charissa,,Lansing
Raksha,,Mudar
Frances,Adele,Proctor
Matthew,,Rispoli
Kenneth,Lloyd,Watkin
Brian,P,Bailey
Kyratso,George,Karahalios
Arthur,F,Kramer
Alejandro,,Lleras
Deana,C,McDonagh
Henry,L,Taylor
Hubert,C,White
Christopher,D,Wickens
Ahmed,Rashad,Abdel-Khalik
Waqar,,Ahmed
Glenn,D,Aquino
Romana,L,Autrey
Andrew,Michael,Bauer
Timothy,David,Bauer
Paul,J,Beck
Gregory,A,Bergmann
Clifton,E,Brown
Timothy,J,Brown
James,Charles,Calzaretta
John,S,Chandler
Xiaoling,,Chen
Stanley,Thomas,Cichowski
Susan,Mertzlufft,Curtis
Jon,S,Davis
Michael,P,Donohoe
W,Brooke,Elliott
Howard,S,Engle
Qintao,,Fan
Kirsten,Beth,Fanning
Thomas,,Finnegan
Jonathan,Bennett,Fotzler
Maurice,,Friedberg
Michael,T,Hart
Jessen,L,Hobson
Daniel,Eugene,Holder
Kevin,,Jackson
Michael,Robert,Lawler
Wei,,Li
Yue,,Li
Petro,,Lisowsky
William,Collins,McAlpine
Walter,Kurt,Meier
Gregory,Lee,Mudd
Frank,,Nekrasz
Frederick,L,Neumann
Mark,Everett,Peecher
Heather,Lynn,Pesch
Michael,Joseph,Sandretto
Rachel,,Schwartz
Julia,Phillips,Shapland
Jeffrey,M,Shaw
Peter,A,Silhan
Ira,,Solomon
Theodore,,Sougiannis
Thomas,,Sternburg
Susan,Mary,Thomas
Anne,Margaret,Thompson
Thomas,W,Vance
Brian,T,Whitlock
Eugene,,Willis
William,F,Wright
Martin,G,Wu
Arthur,R,Wyatt
Li,,Zhang
Richard,E,Ziegler
Narindar,K,Aggarwal
Gopesh,Jankinath,Anand
Nancy,D,Anderson
Phillip,C,Anderson
Michael,Kay,Bednar
Charles,W,Boast
Marcelo,,Bucheli
Joseph,L,Cheng
Dilip,,Chhajed
Joseph,A,Clougherty
Lawrence,M,DeBrock
Nancy,A,Desmond
Rajagopal,,Echambadi
Richard,,Engelbrecht-Wiggans
Hadi,S,Esfahani
Er,,Fang
Ravi,Shanker,Gajendran
David,M,Gardner
Avijit,,Ghosh
Jay,P,Kesan
John,W,Kindt
Minkyung,,Koo
Matthew,S,Kraatz
Jeffrey,M,Kurtz
Hyok-Jon,Dharma,Kwon
Paul,,Lansing
Eric,,Larson
Huseyin,,Leblebici
Michael,Kim,Lim
Yunchuan,,Liu
Jeffrey,,Loewenstein
E,Geoffrey,Love
Joseph,T,Mahoney
Ravi,Prakash,Mehta
Steven,C,Michael
Dimitri,M,Mihalas
Kent,Bourdon,Monroe
Matthew,L,Nelson
Eric,J,Neuman
Hayden,Neville,Noel
Greg,R,Oldham
Cornelia,C,Otnes
Udatta,S,Palekar
Gary,E,Pepper
William,J,Qualls
Aric,P,Rindfleisch
Mark,E,Roszkowski
Vishal,,Sachdev
Muhammad,Shahbaz,Shabbir
Sharon,,Shavitt
Michael,Jeng-Ping,Shaw
Alexander,,Sleptsov
Deepak,,Somaya
Ramanath,,Subramanyam
Fataneh,,Taghaboni-Dutta
Koji,,Taira
Madhubalan,,Viswanathan
B,Joseph,White
Tiffany,Barnett,White
Mark,Edward,Wolters
Heitor,,Almeida
Dennis,E,Beard
Anil,K,Bera
Mark,Daniel,Bernhardt
Jeffrey,R,Brown
Donald,L,Burkholder
Roger,E,Cannaday
William,W,Capel
Kuo,Chi,Chan
Shinjinee,,Chattopadhyay
Jaewon,,Choi
Peter,F,Colwell
Stephen,Paul,D'Arcy
Donald,Warren,Davis
Jeffrey,M,Davis
Tatyana,,Deryugina
Michael,A,Dyer
Joseph,E,Finnerty
Virginia,Grace,France
Don,,Fullerton
James,A,Gentry
Timothy,C,Johnson
Srinivasan,,Kannan
Mathias,,Kronlund
Josef,,Lakonishok
Morton,N,Lane
Charles,M,Linke
Matthew,Maciej,Marcinkowski
Nolan,H,Miller
Christopher,,Moyer
Elisabeth,,Oltheten
Neil,D,Pearson
George,G,Pennacchi
Scott,Edward,Perkins
Stephen,Richard,Peters
Joseph,A,Petry
Joshua,M,Pollet
Julian,Christopher,Reif
Daniel,,Sholem
Anne,,Villamil
Mark,C,Vonnahme
Kevin,G,Waspi
Scott,J,Weisbenner
David,Thomas,Whitford
Martin,,Widdicks
Mao,,Ye
Bonnie,Betts,Armbruster
Christine,M,Arpin
Arthur,J,Baroody
Eurydice,,Bauer
Erika,L,Boettcher
Mary,C,Bragiel
Deborah,Lee,Brandenburg
Liora,,Bresler
Gary,Lee,Brodnan
Kathleen,,Brodnan
David,E,Brown
John,Robert,Brunsting
Renee,T,Clift
Frederick,G,Davidson
Sheila,Rae,Dean
Marilyn,L,Denning
Mark,Allen,Dressman
Douglas,Gordon,Elrick
Georgia,E,Garcia
Jennifer,,Gartside
Karen,L,Gschwend
Rochelle,,Gutierrez
Richard,E,Hanke
Jan,,Hari
Violet,J,Harris
Gerald,Lon,Henderson
Jennifer,Quednau,Hixson
Stafford,,Hood
Barbara,,Hug
Patricia,M,Jurgens
Mary,,Kalantzis
Lilian,G,Katz
Amy,,Lazzaretto
Alisha,Lauren,Lewis
Mary,Florence,Lindquist
Yvette,Nelva,Long
Sarah,Theule,Lubienski
Nancy,A,MacGregor
Sarah,Jane,McCarthey
Cameron,R,McCarthy
Sunny,Olivia,McMurry
Christine,S,Merritt
Karla,Jean,Moller
Sharon,,Morrisette
Margery,,Osborne
Marilyn,Anita,Parsons
Adam,Roman,Poetzel
James,R,Polzin
George,Clifford,Reese
Elaine,R,Seaman
Sharon,Y,Tettegah
Kenneth,J,Travers
Lucinda,Benson,Vriner
Ian,D,Westbury
Arlette,I,Willis
Lynn,,Wurtzel
Samuel,Kern,Alexander
James,D,Anderson
Bernice,McNair,Barnett
Debra,D,Bragg
Ruth,Nicole,Brown
Nicholas,C,Burbules
William,,Cope
Antonia,,Darder
Jennifer,A,Delaney
Pradeep,A,Dhillon
Adrienne,Denise,Dixson
Anne,Haas,Dyson
Walter,,Feinberg
Lisa,S,Fink
Jeffrey,,Flesher
Priscilla,J,Fortier
Kevin,,Franklin
James,Robert,Frasier
Rebecca,,Ginsburg
Donald,,Hackmann
Richard,H,Herman
Linda,,Herrera
Mary,Beth,Herrmann
Christopher,Roy,Higgins
Denice,Ward,Hood
Wen-Hao,,Huang
Richard,C,Hunter
Stanley,O,Ikenberry
Ronald,Lynn,Jacobs
Erica,Dawn,Kalata
Hyunjung,,Kim
K,Peter,Kuchinke
Nicole,Alane,Lamers
Raymond,Anthony,Lauk
Faye,L,Lesht
Jie,,Li
Michael,C,Loui
Christopher,,Lubienski
Julia,Panke,Makela
Cris,Susan,Mayo
Cameron,R,McCarthy
Yoon,Kyung,Pak
Michael,Adrian,Peters
Raymond,Lewis,Price
Ishwanzya,,Rivers
Fazal,,Rizvi
Chris,,Roegge
Jill,B,Smart
Christopher,,Span
Laura,Jill,Taylor
Paul,W,Thurston
Tod,E,Treat
William,T,Trent
Anjale,Devawn,Welton
Rose,Mary,Wentling
Linda,L,Yonke
Carolyn,Jane,Anderson
Richard,C,Anderson
Thomas,H,Anderson
Graciela,Vazquez,Andresen
Karen,,Aprill
Darini,S,Arulpragasam
Theresa,Marie,Benson
Daniel,John,Berry
Mark,L,Blodgett
Charles,Titus,Boudreaux
Melissa,A,Bowles
Cheryl,Davis,Bullock
Hua-hua,,Chang
Kiel,,Christianson
Sandy,L,Colbs
Kimberly,D,Collins
Tressa,Helen,Crook
Gary,A,Cziko
Frederick,G,Davidson
Lori,E,Davis
Lisa,Bouillion,Diaz
Jeffrey,A,Douglas
Dorothy,L,Espelage
Jennifer,Caroline,Greene
Sharon,S,Griffin-Pierson
Marybeth,,Hallett
James,W,Hannum
Kimberly,A,Hays
Stafford,,Hood
Wen-Hao,,Huang
Lawrence,J,Hubert
Anita,Rose,Hund-Wantland
Lisa,,Kinderman
Gregory,S,Lambeth
Joycelyn,,Landrum-Brown
Constance,M,Langellier
Reed,W,Larson
Kathryn,Kurlakowsky,Leskis
Adrienne,Shiu-Ming,Lo
Jane,W,Loeb
Sabina,,Low
Carla,J,McCowan
Jose,,Mestre
Daniel,G,Morrow
Helen,A,Neville
Ramona,Faith,Oswald
Jerome,L,Packard
Michelle,,Perry
William,A,Roberts
Joseph,Paul,Robinson-Cimpian
Gail,,Rooney
James,,Rounds
Allison,M,Ryan
Katherine,E,Ryan
Thomas,A,Schwandt
Robert,E,Stake
Sharon,Y,Tettegah
Jodi,,Thomas
Linda,,Vigdor
Pamela,A,Warren
Deidre,Ann,Weathersby
Charles,K,West
Jinming,,Zhang
David,,Zola
Laurie,Grams,Andrews
Johnell,L,Bentz
Yvonne,A,Carey
Janis,,Chadsey
Stacy,K,Dymond
Susan,A,Fowler
Janet,S,Gaffney
James,W,Halle
Robert,A,Henderson
Mary-Alayne,,Hughes
Maya,,Israel
Lilian,G,Katz
Leonard,A,Lopez
Jeanette,A,McCollum
Hedda,,Meadan-Kaplansky
Lisa,Ellen,Monda-Amaya
Michaelene,,Ostrosky
Adelle,M,Renzaglia
James,G,Shriner
David,Ross,Strauser
Susan,J,Talbott
John,S,Trach
Rachel,E,Wheeler
Joseph,,Bentsman
Lawrence,A,Bergman
Ryan,B,Berke
Daniel,J,Bodony
Michael,B,Bragg
Timothy,Wolfe,Bretl
John,D,Buckmaster
Rodney,L,Burton
David,Leon,Carroll
Ioannis,,Chasiotis
Huck,Beng,Chew
Christian,Miguel,Chilan
Kenneth,T,Christensen
Soon-Jo,,Chung
Bruce,A,Conway
Victoria,Lynn,Coverstone
Steven,Joseph,D'Urso
J,Craig,Dutton
Gregory,S,Elliott
Jonathan,,Freund
Xingxin,,Gao
Philippe,H,Geubelle
Harry,H,Hilton
Naira,,Hovakimyan
Thomas,L,Jackson
John,,Lambros
Cedric,,Langbort
Ki,D,Lee
Eric,,Loth
Arif,,Masud
Donald,Michael,McFarland
George,H,Miley
N,Sri,Namachchivaya
Marco,,Panesi
John,E,Prussing
Srinivasa,M,Salapaka
Michael,S,Selig
Wayne,C,Solomon
Nancy,R,Sottos
Alexander,F,Vakakis
Petros,G,Voulgaris
Scott,R,White
Brian,S,Woodard
Narayana,R,Aluru
Jennifer,,Amos
Thomas,J,Anastasio
Rashid,,Bashir
Rohit,,Bhargava
Stephen,Allen,Boppart
Yoram,,Bresler
Jianjun,,Cheng
Brian,T,Cunningham
Aditi,,Das
Minh,N,Do
Wawrzyniec,,Dobrucki
John,G,Georgiadis
Martha,L,Gillette
Steve,,Granick
Brendan,A,Harley
K,Jimmy,Hsia
Elizabeth,T,Hsiao-Wecksler
Michael,,Insana
Iwona,M,Jasiuk
Yong-Su,,Jin
Cornelis,Victor,Jongeneel
Kyekyoon,,Kim
Hyun,Joon,Kong
Wentao,,Kong
Deborah,E,Leckband
Zhi-Pei,,Liang
Sung,Jun,Lim
Gang,Logan,Liu
Ting,,Lu
Yi,,Lu
Jian,,Ma
Su-A,,Myong
Mark,E,Nelson
Boris,M,Odintsov
Michael,L,Oelze
Gabriel,,Popescu
John,A,Rogers
Lawrence,B,Schook
Klaus,J,Schulten
Andrew,M,Smith
Brad,,Sutton
Jonathan,V,Sweedler
Kimani,C,Toussaint
Gregory,H,Underhill
Fei,,Wang
Michelle,Yongmei,Wang
Ning,,Wang
Bruce,C,Wheeler
Matthew,B,Wheeler
Yuanhui,,Zhang
Huimin,,Zhao
Daniel,P,Abrams
Ange-Therese,,Akono
Imad,L,Al-Qadi
Bassem,O,Andrawes
Rahim,F,Benekohal
Tami,C,Bond
Ximing,,Cai
Eun,Jeong,Cha
Roland,,Cusick
Carlos,Armando,Duarte
Nora,,El-Gohary
Khaled,A,El-Rayes
Ahmed,,Elbanna
Larry,Alan,Fahnestock
Marcelo,Horacio,Garcia
Paolo,,Gardoni
Jeremy,S,Guest
Megan,,Konar
Praveen,,Kumar
James,Michael,LaFave
David,A,Lange
Susan,M,Larson
Liang,Y,Liu
Wen-Tso,,Liu
Franklin,T,Lombardo
Oscar,,Lopez-Pamies
Benito,Jose,Marinas
Arif,,Masud
Hadi,,Meidani
Yujie,,Men
Gholamreza,,Mesri
Barbara,S,Minsker
Paramita,,Mondal
Thanh,Huong,Nguyen
Scott,Michael,Olson
Yanfeng,,Ouyang
Hasan,,Ozer
Gary,,Parker
Joshua,Michael,Peschel
John,S,Popovics
Jeffery,Raphael,Roesler
Mark,J,Rood
Cassandra,J,Rutherford
Arthur,R,Schmidt
Murugesu,,Sivapalan
Timothy,D,Stark
Ashlynn,Suzanne,Stillwell
Erol,,Tutumluer
Albert,J,Valocchi
Vishal,,Verma
Daniel,,Work
Julie,,Zilles
Tarek,,Abdelzaher
Sarita,V,Adve
Vikram,Sadanand,Adve
Gul,A,Agha
Eyal,,Amir
Lawrence,Christopher,Angrave
Brian,P,Bailey
Gordon,J,Baker
John,Christian,Bambenek
Lloyd,,Barr
Geneva,G,Belford
Nikita,,Borisov
Timothy,Wolfe,Bretl
Marco,,Caccamo
Matthew,Chapman,Caesar
R,H,Campbell
Franck,,Cappello
Kevin,Chen-Chuan,Chang
Chandra,Sekhar,Chekuri
Deming,,Chen
Weng,Cho,Chew
Jennifer,S,Cole
Daniel,,Dig
Miles,James,Efron
Jeff,G,Erickson
Santiago,,Escobar
Margaret,M,Fleck
David,Alexander,Forsyth
H,George,Friedman
Wai-Tat,,Fu
Maria,Jesus,Garzaran
Leslie,G,Gasser
Charles,,Gear
Corina,R,Girju
Philip,B,Godfrey
William,D,Gropp
Carl,,Gunter
Elsa,,Gunter
Indranil,,Gupta
Jiawei,,Han
Sariel,,Har-Peled
Mehdi,T,Harandi
John,C,Hart
Mark,Allan,Hasegawa-Johnson
Michael,T,Heath
Cinda,,Heeren
Anil,Nirmal,Hirani
Julia,Constanze,Hockenmaier
Derek,W,Hoiem
Yih-Chun,,Hu
Thomas,S,Huang
Seth,Andrew,Hutchinson
Wen-Mei,W,Hwu
Ravishankar,K,Iyer
Sheldon,Howard,Jacobson
Laxmikant,V,Kale
Samuel,N,Kamin
Kyratso,George,Karahalios
Alex,,Kirlik
Negar,,Kiyavash
Alexandra,,Kolla
Robin,Hillary,Kravets
William,J,Kubitz
Steven,M,Lavalle
Duncan,H,Lawrie
Svetlana,,Lazebnik
Steven,Sam,Lumetta
Jian,,Ma
Darko,,Marinov
Kenton,Guadron,McHenry
Kirill,Alexandrovich,Mechitov
Jose,,Meseguer
M,Dennis,Mickunas
Klara,,Nahrstedt
David,Malcolm,Nicol
Luke,,Olson
David,A,Padua
Madhusudan,,Parthasarathy
Leonard,B,Pitt
Constantine,,Polychronopoulos
Manoj,M,Prabhakaran
Edward,M,Reingold
Frederick,A,Rodgers
Grigore,,Rosu
Dan,,Roth
Robin,A,Rutenbar
William,H,Sanders
Paul,E,Saylor
Bruce,R,Schatz
Peter,,Schran
Lui,Raymond,Sha
Eric,Gene,Shaffer
Saurabh,,Sinha
Robert,D,Skeel
Paris,,Smaragdis
Gale,D,Taylor
Umesh,,Thakkar
Josep,,Torrellas
Michael,Bernard,Twidale
Nitin,H,Vaidya
Shobha,,Vasudevan
Paul,C,Violas
Mahesh,,Viswanathan
Lili,,Wang
Marianne,S,Winslett
Michael,Joseph,Woodley
Chengxiang,,Zhai
Craig,,Zilles
Ilesanmi,,Adesida
Haitham,,Al-Hassanieh
Jont,,Allen
Juan,,Alvarez
Michael,Donald,Bailey
Juliy,,Baryshnikov
M,Tamer,Basar
Can,,Bayram
Mohamed,Ali,Belabbas
Jennifer,Truman,Bernhard
Stephen,Allen,Boppart
Nikita,,Borisov
Subhonmesh,,Bose
Yoram,,Bresler
Andreas,C,Cangellaris
Paul,Scott,Carney
Deming,,Chen
Yuting,Wu,Chen
Zuofu,,Cheng
Weng,Cho,Chew
Hyungsoo,,Choi
Kent,D,Choquette
Brian,T,Cunningham
John,Michael,Dallesasse
Minh,N,Do
Alejandro,,Dominguez-Garcia
Peter,D,Dragic
James,Gary,Eden
Arne,Woolsey,Fliflet
Patricia,M,Franke
Steven,J,Franke
Liang,,Gao
Matthew,,Gilbert
Lynford,L,Goddard
Songbin,,Gong
George,,Gross
Bruce,,Hajek
Lippold,,Haken
Pavan,Kumar,Hanumolu
Kiruba,Sivasubramaniam,Haran
Mark,Allan,Hasegawa-Johnson
Wei,,He
Philip,M,Hillmer
Yih-Chun,,Hu
Seth,Andrew,Hutchinson
Wen-Mei,W,Hwu
Ravishankar,K,Iyer
Jianming,,Jin
Douglas,L,Jones
Farzad,,Kamalabadi
Timothy,L,Killeen
Kyekyoon,,Kim
Nam,Sung,Kim
Negar,,Kiyavash
Erhan,,Kudeki
Rakesh,,Kumar
Jean-Pierre,,Leburton
Stephen,E,Levinson
Xiuling,,Li
Zhi-Pei,,Liang
Daniel,M,Liberzon
Gang,Logan,Liu
Yi,,Lu
Steven,Sam,Lumetta
Joseph,W,Lyding
Jonathan,J,Makela
Olgica,,Milenkovic
Sayan,,Mitra
Pierre,,Moulin
David,Malcolm,Nicol
Michael,L,Oelze
Thomas,J,Overbye
Sanjay,Jeram,Patel
Gabriel,,Popescu
Chandrasekhar,,Radhakrishnan
